node Id source	node Id dst	edge hierarchical prop
66	232	same
232	66	same
234	235	same
235	234	same
236	235	same
235	236	same
234	236	same
236	234	same
236	234	same
234	236	same
71	235	same
235	71	same
234	237	same
237	234	same
236	237	same
237	236	same
238	237	same
237	238	same
230	237	same
237	230	same
234	236	same
236	234	same
234	238	same
238	234	same
234	230	same
230	234	same
236	234	same
234	236	same
236	238	same
238	236	same
236	230	same
230	236	same
238	234	same
234	238	same
238	236	same
236	238	same
238	230	same
230	238	same
230	234	same
234	230	same
230	236	same
236	230	same
230	238	same
238	230	same
68	237	lower
237	68	higher
71	237	same
237	71	same
239	240	same
240	239	same
66	240	same
240	66	same
239	241	same
241	239	same
242	241	same
241	242	same
239	242	same
242	239	same
242	239	same
239	242	same
68	241	lower
241	68	higher
66	241	same
241	66	same
243	244	same
244	243	same
71	244	same
244	71	same
243	245	same
245	243	same
68	245	lower
245	68	higher
66	245	same
245	66	same
246	247	same
247	246	same
71	247	same
247	71	same
246	248	same
248	246	same
249	248	same
248	249	same
246	249	same
249	246	same
249	246	same
246	249	same
68	248	lower
248	68	higher
71	248	same
248	71	same
250	251	same
251	250	same
252	251	same
251	252	same
250	252	same
252	250	same
252	250	same
250	252	same
66	251	same
251	66	same
